"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.01.2021","375,70","376,72","377,58","373,70","107,16M","-0,73%"
"14.01.2021","378,46","380,59","381,13","378,10","48,69M","-0,35%"
"13.01.2021","379,79","378,69","380,86","377,85","44,55M","0,27%"
"12.01.2021","378,77","378,89","379,86","376,36","51,68M","0,02%"
"11.01.2021","378,69","377,85","380,58","377,72","50,68M","-0,67%"
"08.01.2021","381,26","380,59","381,49","377,10","71,68M","0,57%"
"07.01.2021","379,10","376,10","379,90","375,91","66,75M","1,49%"
"06.01.2021","373,55","369,71","376,98","369,12","102,12M","0,60%"
"05.01.2021","371,33","368,10","372,50","368,05","65,33M","0,69%"
"04.01.2021","368,79","375,31","375,45","364,82","106,39M","-1,36%"
"31.12.2020","373,88","371,78","374,66","371,23","78,52M","0,51%"
"30.12.2020","371,99","372,34","373,10","371,57","49,14M","0,14%"
"29.12.2020","371,46","373,81","374,00","370,83","53,13M","-0,19%"
"28.12.2020","372,17","371,74","372,59","371,07","38,68M","0,86%"
"24.12.2020","369,00","368,08","369,03","367,45","26,46M","0,39%"
"23.12.2020","367,57","368,28","369,62","367,22","44,58M","0,09%"
"22.12.2020","367,24","368,21","368,33","366,03","46,47M","-0,17%"
"21.12.2020","367,86","364,97","378,46","362,03","92,56M","-0,36%"
"18.12.2020","369,18","370,97","371,15","367,02","136,54M","-0,82%"
"17.12.2020","372,24","371,94","372,46","371,05","62,66M","0,56%"
"16.12.2020","370,17","369,82","371,16","368,87","57,28M","0,16%"
"15.12.2020","369,59","367,40","369,59","365,92","63,22M","1,35%"
"14.12.2020","364,66","368,64","369,80","364,47","68,26M","-0,45%"
"11.12.2020","366,30","364,90","366,74","363,26","57,70M","-0,12%"
"10.12.2020","366,73","365,37","367,86","364,43","55,62M","-0,03%"
"09.12.2020","366,85","370,88","371,05","365,95","72,00M","-0,90%"
"08.12.2020","370,17","367,72","370,78","367,67","41,62M","0,29%"
"07.12.2020","369,09","369,02","369,62","367,72","46,97M","-0,21%"
"04.12.2020","369,85","367,32","369,85","367,22","50,75M","0,86%"
"03.12.2020","366,69","366,68","368,19","365,50","62,10M","-0,03%"
"02.12.2020","366,79","364,82","366,96","364,20","43,71M","0,21%"
"01.12.2020","366,02","365,57","367,68","364,93","73,07M","1,09%"
"30.11.2020","362,06","362,83","363,12","359,17","80,85M","-0,44%"
"27.11.2020","363,67","363,84","364,18","362,58","28,51M","0,28%"
"25.11.2020","362,66","363,13","363,16","361,48","45,33M","-0,15%"
"24.11.2020","363,22","360,21","363,81","359,29","61,29M","1,61%"
"23.11.2020","357,46","357,28","358,82","354,86","61,33M","0,60%"
"20.11.2020","355,33","357,50","357,72","355,25","70,41M","-0,68%"
"19.11.2020","357,78","355,60","358,18","354,15","58,03M","0,42%"
"18.11.2020","356,28","360,91","361,50","356,24","67,24M","-1,20%"
"17.11.2020","360,62","359,97","361,92","358,34","65,16M","-0,54%"
"16.11.2020","362,57","360,98","362,78","359,59","73,45M","1,25%"
"13.11.2020","358,10","355,27","358,90","354,71","62,96M","1,38%"
"12.11.2020","353,21","355,58","356,72","351,26","66,63M","-0,97%"
"11.11.2020","356,67","356,40","357,56","355,06","57,81M","0,74%"
"10.11.2020","354,04","353,49","355,18","350,51","83,91M","-0,15%"
"09.11.2020","354,56","363,97","364,38","354,06","170,08M","1,26%"
"06.11.2020","350,16","349,93","351,51","347,65","74,97M","-0,02%"
"05.11.2020","350,24","349,24","352,19","348,86","80,78M","1,95%"
"04.11.2020","343,54","340,86","347,94","339,59","125,93M","2,23%"
"03.11.2020","336,03","333,69","338,25","330,29","89,72M","1,77%"
"02.11.2020","330,20","330,20","332,36","327,24","86,07M","1,12%"
"30.10.2020","326,54","328,28","329,69","322,60","120,45M","-1,04%"
"29.10.2020","329,98","326,91","333,39","325,09","89,17M","1,02%"
"28.10.2020","326,66","332,10","338,25","326,13","125,70M","-3,42%"
"27.10.2020","338,22","339,76","340,12","337,99","64,33M","-0,34%"
"26.10.2020","339,39","342,13","342,98","335,62","89,71M","-1,85%"
"23.10.2020","345,78","345,93","345,99","343,13","49,14M","0,34%"
"22.10.2020","344,61","342,96","345,24","340,65","54,89M","0,55%"
"21.10.2020","342,73","343,33","348,68","342,40","62,46M","-0,19%"
"20.10.2020","343,38","343,46","346,88","342,64","59,39M","0,40%"
"19.10.2020","342,01","348,65","349,33","341,04","67,26M","-1,52%"
"16.10.2020","347,29","348,96","350,75","347,10","89,50M","-0,06%"
"15.10.2020","347,50","343,54","348,01","343,54","60,36M","-0,12%"
"14.10.2020","347,93","350,72","351,91","347,16","57,96M","-0,63%"
"13.10.2020","350,13","352,34","352,34","349,10","73,26M","-0,65%"
"12.10.2020","352,43","349,53","354,01","349,08","80,39M","1,61%"
"11.10.2020","346,85","346,85","346,85","346,85","-","0,00%"
"09.10.2020","346,85","345,56","347,35","344,89","59,53M","0,89%"
"08.10.2020","343,78","342,84","343,84","341,89","45,24M","0,89%"
"07.10.2020","340,76","338,11","341,60","338,11","57,00M","1,74%"
"06.10.2020","334,93","339,91","342,17","334,38","90,13M","-1,42%"
"05.10.2020","339,76","336,27","339,94","336,17","45,71M","1,77%"
"04.10.2020","333,84","333,84","333,84","333,84","-","0,00%"
"03.10.2020","333,84","333,84","333,84","333,84","-","0,00%"
"02.10.2020","333,84","331,25","335,90","331,20","89,43M","-0,95%"
"01.10.2020","337,04","337,63","338,68","335,05","88,70M","0,64%"